日期,高锰酸钾指数,化学需氧量,五日生化需氧量,总有机碳,氨氮,色度,电导率,溶解性总固体,浊度,硝酸盐氮,叶绿素a,氟化物
1/2/2021 1:00,5.62,0,2.775,3.41,0.0191,16.2,1023.3,665.131,7.4,0.9595,0,0.7495
1/2/2021 2:00,5.62,0,2.775,3.41,0.0191,16.2,1022.75,664.7505,7.4,0.959,0,0.7695
1/2/2021 3:00,5.62,0,2.78,3.41,0.0191,16.2,1021.95,664.2175,7.4,0.958,0,0.7545
1/2/2021 4:00,5.62,0,2.775,3.41,0.0191,16.2,1021.2,663.7295,7.4,0.9585,0,0.759
1/2/2021 5:00,5.62,0,2.775,3.41,0.0191,16.2,1020.35,663.1855,7.4,0.9585,0,0.748
1/2/2021 6:00,5.54,0,2.705,3.36,0.0191,16.2,1020,662.9505,7.4,0.9075,0,0.7495
1/2/2021 7:00,5.54,0,2.705,3.36,0.0191,16.2,1020.5,663.2755,7.4,0.908,0,0.735
1/2/2021 8:00,5.54,0,2.705,3.36,0.019,16.2,1020.9,663.561,7.4,0.9085,0,0.7475
1/2/2021 9:00,5.54,0,2.705,3.36,0.019,16.2,1021.3,663.8315,7.4,0.908,0,0.743
1/2/2021 10:00,5.54,0,2.71,3.36,0.019,16.2,1021.8,664.1405,7.4,0.9075,0,0.749
1/2/2021 11:00,5.47,0,2.635,3.31,0.019,16,1080.1,702.0285,7.2,0.857,0,0.7375
1/2/2021 12:00,5.47,0,2.635,3.31,0.019,16,1080.45,702.2665,7.2,0.8575,0,0.7425
1/2/2021 13:00,5.47,0,2.635,3.31,0.0189,16,1080.85,702.515,7.2,0.857,0,0.731
1/2/2021 14:00,5.47,0,2.64,3.31,0.0189,16,1081.3,702.8135,7.2,0.8565,0,0.7345
1/2/2021 15:00,5.47,0,2.64,3.31,0.0189,16,1081.65,703.0655,7.2,0.857,0,0.727
1/2/2021 16:00,5.46,0,2.64,3.31,0.0191,16,1081.75,703.13,7.2,0.853,0,0.732
1/2/2021 17:00,5.46,0,2.64,3.31,0.0191,16,1082.6,703.662,7.2,0.853,0,0.7255
1/2/2021 18:00,5.46,0,2.64,3.31,0.0191,16,1083.5,704.23,7.2,0.854,0,0.71
1/2/2021 19:00,5.46,0,2.64,3.31,0.0191,16,1084.25,704.723,7.2,0.8545,0,0.718
1/2/2021 20:00,5.46,0,2.64,3.31,0.0191,16,1084.85,705.136,7.2,0.854,0,0.7185
1/2/2021 21:00,5.46,0,2.64,3.32,0.0191,16,1084.9,705.1675,7.1,0.853,0,0.723
1/2/2021 22:00,5.46,0,2.64,3.32,0.0191,16,1085.85,705.7895,7.1,0.8525,0,0.7065
1/2/2021 23:00,5.46,0,2.635,3.32,0.0191,16,1087.3,706.736,7.1,0.852,0,0.721
1/3/2021 0:00,5.46,0,2.635,3.32,0.0191,16,1088.45,707.4705,7.1,0.852,0,0.7305
1/3/2021 1:00,5.46,0,2.635,3.32,0.0191,16,1089.8,708.3445,7.1,0.852,0,0.747
1/3/2021 2:00,5.47,0,2.635,3.32,0.019,16,1089.9,708.4305,7.1,0.852,0,0.7355
1/3/2021 3:00,5.47,0,2.635,3.32,0.019,16,1090.35,708.7055,7.1,0.851,0,0.7415
1/3/2021 4:00,5.47,0,2.635,3.32,0.0191,16,1090.95,709.0845,7.1,0.851,0,0.7385
1/3/2021 5:00,5.47,0,2.64,3.32,0.0191,16,1091.45,709.4,7.1,0.8525,0,0.74
1/3/2021 6:00,5.47,0,2.635,3.32,0.0191,16,1091.9,709.702,7.1,0.854,0,0.7205
1/3/2021 7:00,5.48,0,2.635,3.32,0.0192,16,1033.7,671.8835,7.2,0.8525,0,0.7395
1/3/2021 8:00,5.48,0,2.64,3.32,0.0192,16,1034.15,672.176,7.2,0.8535,0,0.7245
1/3/2021 9:00,5.48,0,2.64,3.32,0.0192,16,1034.6,672.462,7.2,0.8535,0,0.737
1/3/2021 10:00,5.48,0,2.635,3.32,0.0192,16,1034.8,672.578,7.2,0.8555,0,0.7465
1/3/2021 11:00,5.48,0,2.635,3.32,0.0192,16,1035.1,672.7595,7.2,0.8545,0,0.739
1/3/2021 12:00,5.48,0,2.63,3.32,0.0191,16,1035.1,672.7575,7.2,0.8545,0,0.753
1/3/2021 13:00,5.48,0,2.635,3.32,0.0191,16,1034.9,672.64,7.2,0.854,0,0.7625
1/3/2021 14:00,5.48,0,2.635,3.32,0.0191,16,1034.8,672.594,7.2,0.854,0,0.765
1/3/2021 15:00,5.48,0,2.635,3.32,0.0191,16,1034.8,672.584,7.2,0.854,0,0.7725
1/3/2021 16:00,5.48,0,2.635,3.32,0.0191,16,1034.75,672.5475,7.2,0.854,0,0.7645
1/3/2021 17:00,5.48,0.27,2.635,3.32,0.019,16,1034.8,672.5565,7.2,0.8535,0,0.76
1/3/2021 18:00,5.48,0.52,2.635,3.32,0.019,16,1034.85,672.5985,7.2,0.855,0,0.7545
1/3/2021 19:00,5.48,0.78,2.64,3.32,0.019,16,1034.45,672.3465,7.2,0.8555,0,0.749
1/3/2021 20:00,5.48,1.05,2.64,3.32,0.019,16,1034.25,672.2165,7.2,0.8545,0,0.7365
1/3/2021 21:00,5.48,1.31,2.64,3.32,0.019,16,1034.15,672.1655,7.2,0.8535,0,0.7305
1/3/2021 22:00,5.48,1.31,2.645,3.32,0.0191,16,1034.25,672.226,7.2,0.8535,0,0.7365
1/3/2021 23:00,5.48,1.31,2.645,3.32,0.0191,16,1034.2,672.193,7.2,0.854,0,0.7405
1/4/2021 0:00,5.48,1.31,2.645,3.32,0.019,16,1034.1,672.1255,7.2,0.854,0,0.7375
1/4/2021 1:00,5.48,1.31,2.64,3.32,0.019,16,1034.15,672.1315,7.2,0.8525,0,0.7335
1/4/2021 2:00,5.48,1.31,2.64,3.32,0.019,16,1034.3,672.223,7.2,0.8505,0,0.738
1/4/2021 3:00,5.48,1.32,2.645,3.32,0.019,16,1034.3,672.2145,7.2,0.8505,0,0.7235
1/4/2021 4:00,5.48,1.35,2.64,3.32,0.019,16,1034.2,672.146,7.2,0.849,0,0.7255
1/4/2021 5:00,5.48,1.38,2.645,3.32,0.019,16,1034.2,672.167,7.2,0.8485,0,0.709
1/4/2021 6:00,5.48,1.39,2.65,3.32,0.019,16,1034.3,672.25,7.2,0.847,0,0.709
1/4/2021 7:00,5.48,1.41,2.65,3.32,0.019,16,1034.45,672.3435,7.2,0.847,0,0.717
1/4/2021 8:00,5.48,1.41,2.655,3.32,0.0191,16,1034.45,672.363,7.2,0.846,0,0.7125
1/4/2021 9:00,5.48,1.41,2.65,3.32,0.0191,16,1035.15,672.8035,7.2,0.8465,0,0.709
1/4/2021 10:00,5.48,1.41,2.655,3.32,0.0192,16,1035.65,673.111,7.2,0.846,0,0.707
1/4/2021 11:00,5.48,1.41,2.66,3.32,0.0192,16,1036.15,673.446,7.2,0.846,0,0.707
1/4/2021 12:00,5.48,1.41,2.66,3.32,0.0191,16,1036.6,673.7415,7.2,0.8455,0,0.691
1/4/2021 13:00,5.48,1.13,2.735,3.32,0.019,16,1095.4,711.9625,7.1,0.8965,0,0.6995
1/4/2021 14:00,5.48,0.85,2.735,3.32,0.019,16,1095.75,712.175,7.1,0.896,0,0.7045
1/4/2021 15:00,5.48,0.56,2.735,3.32,0.019,16,1096.05,712.3715,7.1,0.8955,0,0.6995
1/4/2021 16:00,5.48,0.28,2.735,3.32,0.019,16,1096.55,712.701,7.1,0.895,0,0.698
1/4/2021 17:00,5.48,0,2.735,3.32,0.019,16,1096.8,712.8675,7.1,0.8945,0,0.693
1/4/2021 18:00,5.54,0,2.805,3.36,0.019,16,1096.7,712.8035,7,0.945,0,0.69
1/4/2021 19:00,5.54,0,2.805,3.36,0.019,16,1096.55,712.704,7,0.9435,0,0.6815
1/4/2021 20:00,5.54,0,2.81,3.36,0.0189,16,1096.45,712.643,7,0.942,0,0.6765
1/4/2021 21:00,5.54,0,2.81,3.36,0.0189,16,1096.2,712.4965,7,0.943,0,0.698
1/4/2021 22:00,5.54,0,2.81,3.36,0.019,16,1095.95,712.318,7,0.944,0,0.6905
1/4/2021 23:00,5.6,0,2.88,3.4,0.0191,16,1095.85,712.27,7,0.9955,0,0.6955
1/5/2021 0:00,5.6,0,2.885,3.4,0.0191,16,1096.1,712.4405,7,0.9955,0,0.7165
1/5/2021 1:00,5.6,0,2.885,3.4,0.0191,16,1096.25,712.527,7,0.996,0,0.7245
1/5/2021 2:00,5.6,0,2.885,3.4,0.0191,16,1096.45,712.657,7,0.996,0,0.714
1/5/2021 3:00,5.6,0,2.89,3.4,0.0191,16,1096.65,712.8025,7,0.9955,0,0.713
1/5/2021 4:00,5.6,0,2.96,3.4,0.019,16,1096.6,712.773,7,1.0475,0,0.696
1/5/2021 5:00,5.61,0,2.965,3.4,0.019,16,1096.3,712.5875,7,1.047,0,0.6855
1/5/2021 6:00,5.61,0,2.965,3.4,0.019,16,1096.05,712.4365,7,1.0465,0,0.69
1/5/2021 7:00,5.61,0,2.965,3.4,0.019,16,1095.9,712.3515,7,1.046,0,0.6735
1/5/2021 8:00,5.61,0,2.97,3.4,0.019,16,1095.85,712.2955,7,1.046,0,0.691
1/5/2021 9:00,5.61,0,2.97,3.4,0.019,16,1037.15,674.1465,7,1.0455,0,0.6915
1/5/2021 10:00,5.62,0,2.975,3.4,0.019,16,1036.7,673.8665,7,1.0455,0,0.7025
1/5/2021 11:00,5.63,0,2.975,3.4,0.019,16,1036.15,673.5085,7,1.046,0,0.6975
1/5/2021 12:00,5.64,0,2.98,3.4,0.019,16,1035.6,673.148,7,1.048,0,0.695
1/5/2021 13:00,5.64,0,2.985,3.4,0.0189,16,1035.2,672.863,7,1.0485,0,0.7075
1/5/2021 14:00,5.64,0,2.985,3.4,0.0188,16,1035.25,672.885,7,1.0485,0,0.712
1/5/2021 15:00,5.64,0,2.99,3.4,0.0187,16,1035.35,672.9395,7,1.048,0,0.7245
1/5/2021 16:00,5.65,0,2.99,3.4,0.0187,16,1035.35,672.9515,7,1.049,0,0.736
1/5/2021 17:00,5.66,0,2.995,3.4,0.0187,16,1035.4,672.9785,7,1.048,0,0.717
1/5/2021 18:00,5.66,0,3,3.4,0.0186,16,1035.35,672.9575,7,1.049,0,0.7405
1/5/2021 19:00,5.66,0,3,3.4,0.0187,16,1035.45,673.0105,7,1.0475,0,0.7305
1/5/2021 20:00,5.66,0,3,3.4,0.0187,16,1034.9,672.652,7,1.0485,0,0.7285
1/5/2021 21:00,5.66,0,3,3.4,0.0187,16,1034.3,672.2715,7,1.049,0,0.72
1/5/2021 22:00,5.66,0,3,3.4,0.0187,16,1033.75,671.897,7,1.05,0,0.7155
1/5/2021 23:00,5.67,0,3,3.4,0.0187,16,1033.25,671.567,7,1.05,0,0.709
1/6/2021 0:00,5.67,0,3,3.4,0.0187,16,1091.5,709.4265,7,1.0495,0,0.709
1/6/2021 1:00,5.67,0,3,3.4,0.0187,16,1091.4,709.3585,7,1.051,0,0.7155
1/6/2021 2:00,5.67,0,3,3.4,0.0187,16,1091.35,709.3135,7,1.0515,0,0.725
1/6/2021 3:00,5.67,0,3,3.4,0.0187,16,1091.15,709.1725,7,1.0515,0,0.732
1/6/2021 4:00,5.68,0,3,3.4,0.0187,16,1091,709.1015,7,1.052,0,0.7295
1/6/2021 5:00,5.69,0,3,3.4,0.0187,16,1149.5,747.1345,7,1.052,0,0.72
1/6/2021 6:00,5.69,0,3,3.4,0.0186,16,1149.75,747.3035,7,1.0525,0,0.704
1/6/2021 7:00,5.69,0,3,3.4,0.0186,16,1150.15,747.5645,7,1.0525,0,0.7055
1/6/2021 8:00,5.69,0,3,3.4,0.0185,16,1150.45,747.769,7,1.0515,0,0.7055
1/6/2021 9:00,5.69,0,3,3.4,0.0185,16,1150.65,747.926,7,1.0515,0,0.6855
1/6/2021 10:00,5.7,0,3,3.4,0.0186,16,1209.2,785.984,7,1.051,0,0.6695
1/6/2021 11:00,5.7,0,3,3.41,0.0186,16,1209.35,786.107,7,1.0525,0,0.666
1/6/2021 12:00,5.7,0,3,3.41,0.0186,16,1209.6,786.2595,7,1.0535,0,0.654
1/6/2021 13:00,5.7,0,3,3.41,0.0185,16,1209.85,786.4305,7,1.0545,0,0.669
1/6/2021 14:00,5.7,0,3,3.41,0.0185,16,1210.1,786.604,7,1.0545,0,0.6605
1/6/2021 15:00,5.7,0,3,3.41,0.0184,16,1268.95,824.855,7,1.0555,0,0.674
1/6/2021 16:00,5.7,0,3,3.42,0.0184,16,1269.5,825.207,7,1.056,0,0.6695
1/6/2021 17:00,5.7,0,3,3.42,0.0184,16,1270.2,825.6615,7,1.055,0,0.6665
1/6/2021 18:00,5.7,0,3,3.42,0.0184,16,1270.9,826.114,7,1.0545,0,0.6715
1/6/2021 19:00,5.7,0,3,3.42,0.0184,16,1271.45,826.465,7,1.055,0,0.6895
1/6/2021 20:00,5.7,3.5,3,3.42,0.0184,16,1272.05,826.8465,7,1.055,0,0.7105
1/6/2021 21:00,5.7,7,3,3.42,0.0184,16,1272.2,826.9635,7,1.054,0,0.7185
1/6/2021 22:00,5.7,10.48,3,3.43,0.0183,16,1272.4,827.0915,7,1.054,0,0.719
1/6/2021 23:00,5.7,13.97,3,3.43,0.0183,16,1272.65,827.2385,7,1.054,0,0.7265
1/7/2021 0:00,5.7,17.47,3,3.43,0.0182,16,1272.85,827.344,7,1.054,0,0.7175
1/7/2021 1:00,5.7,17.47,3,3.43,0.0182,16,1272.7,827.2535,7,1.054,0,0.7265
1/7/2021 2:00,5.7,17.47,3,3.43,0.0182,16,1272.3,826.9915,7,1.053,0,0.7495
1/7/2021 3:00,5.7,17.47,3,3.44,0.0181,16,1273,827.45,7,1.0525,0,0.7685
1/7/2021 4:00,5.7,17.47,3,3.44,0.0181,16,1274.1,828.177,7,1.0545,0,0.782
1/7/2021 5:00,5.7,17.47,3,3.44,0.0181,16,1275.2,828.8795,7,1.056,0,0.787
1/7/2021 6:00,5.7,13.97,3,3.44,0.0181,16,1276.3,829.5995,7,1.0555,0,0.7885
1/7/2021 7:00,5.7,10.47,3,3.44,0.0181,16,1276.3,829.602,7,1.0545,0,0.7725
1/7/2021 8:00,5.7,6.99,3,3.44,0.0182,16,1276.3,829.586,7,1.0525,0,0.7865
1/7/2021 9:00,5.7,3.5,3,3.45,0.0181,16,1276.35,829.6335,7,1.051,0,0.768
1/7/2021 10:00,5.7,0,3,3.46,0.0181,16,1276.4,829.656,7,1.0495,0,0.757
1/7/2021 11:00,5.7,0,2.93,3.47,0.018,16,1217.5,791.3775,7,0.9985,0,0.7515
1/7/2021 12:00,5.7,0,2.93,3.47,0.0181,16,1218.6,792.0715,7,0.998,0,0.7465
1/7/2021 13:00,5.7,0,2.93,3.46,0.0184,16,1219.5,792.6655,7,0.999,0,0.761
1/7/2021 14:00,5.7,0,2.93,3.46,0.0186,16,1220.3,793.2055,7,0.999,0,0.749
1/7/2021 15:00,5.7,0,2.93,3.46,0.0188,16,1221.2,793.7985,7,0.9985,0,0.729
1/7/2021 16:00,5.63,0,2.86,3.42,0.0189,16,1222.1,794.378,7.1,0.949,0,0.713
1/7/2021 17:00,5.63,0,2.86,3.42,0.019,16,1223.05,794.989,7.1,0.9495,0,0.72
1/7/2021 18:00,5.63,0,2.86,3.42,0.019,16,1224,795.6345,7.1,0.949,0,0.7255
1/7/2021 19:00,5.63,0,2.86,3.42,0.0191,16,1224.95,796.2755,7.1,0.9495,0,0.7145
1/7/2021 20:00,5.63,0,2.86,3.42,0.0192,16,1225.95,796.924,7.1,0.9485,0,0.733
1/7/2021 21:00,5.56,0,2.79,3.37,0.0194,16,1167.55,758.945,7.2,0.8985,0,0.7265
1/7/2021 22:00,5.56,0,2.79,3.37,0.0193,16,1168.95,759.8595,7.2,0.9,0,0.7235
1/7/2021 23:00,5.56,0,2.79,3.38,0.0191,16,1169.5,760.192,7.2,0.9005,0,0.7195
1/8/2021 0:00,5.56,0,2.79,3.39,0.0189,16,1169.45,760.1685,7.2,0.8985,0,0.707
1/8/2021 1:00,5.56,0,2.79,3.4,0.0187,16,1169.4,760.152,7.2,0.8975,0,0.71
1/8/2021 2:00,5.57,0,2.72,3.4,0.0185,16,1109.8,721.402,7.2,0.8475,0,0.718
1/8/2021 3:00,5.57,0,2.72,3.4,0.0184,16,1110.85,722.0705,7.3,0.85,0,0.7245
1/8/2021 4:00,5.57,0,2.72,3.4,0.0184,16,1111.8,722.7015,7.3,0.852,0,0.713
1/8/2021 5:00,5.57,0,2.72,3.4,0.0185,16,1112.65,723.242,7.3,0.854,0,0.718
1/8/2021 6:00,5.57,0,2.72,3.4,0.0185,16,1113.65,723.895,7.3,0.854,0,0.714
1/8/2021 7:00,5.58,0,2.72,3.4,0.0185,16,1113.8,723.982,7.3,0.854,0,0.7175
1/8/2021 8:00,5.58,0,2.72,3.4,0.0185,16,1113.7,723.9255,7.3,0.853,0,0.729
1/8/2021 9:00,5.58,0,2.72,3.4,0.0185,16,1113.6,723.851,7.3,0.8525,0,0.714
1/8/2021 10:00,5.58,0,2.72,3.4,0.0186,16,1113.55,723.8115,7.3,0.852,0,0.735
1/8/2021 11:00,5.58,0,2.72,3.4,0.0186,16,1113.4,723.7185,7.3,0.853,0,0.733
1/8/2021 12:00,5.58,0,2.72,3.4,0.0186,16,1053.75,684.9455,7.3,0.8525,0,0.7355
1/8/2021 13:00,5.58,0,2.72,3.4,0.0186,16,1053.75,684.95,7.2,0.8525,0,0.7355
1/8/2021 14:00,5.58,0,2.72,3.4,0.0186,16,1053.75,684.923,7.3,0.853,0,0.718
1/8/2021 15:00,5.58,0,2.72,3.4,0.0185,16,1053.75,684.8985,7.3,0.8515,0,0.714
1/8/2021 16:00,5.58,0,2.72,3.4,0.0185,16,1053.65,684.835,7.3,0.852,0,0.708
1/8/2021 17:00,5.58,0,2.79,3.4,0.0182,16,1053.7,684.867,7.3,0.901,0,0.717
1/8/2021 18:00,5.58,0,2.79,3.4,0.0182,16,1053.55,684.7655,7.4,0.8995,0,0.7145
1/8/2021 19:00,5.58,0,2.79,3.4,0.0182,16,1053.2,684.5595,7.5,0.8995,0,0.715
1/8/2021 20:00,5.58,0,2.79,3.4,0.0181,16,1053.1,684.4845,7.6,0.899,0,0.72
1/8/2021 21:00,5.58,0,2.79,3.4,0.0181,16,1053,684.403,7.6,0.899,0,0.709
1/8/2021 22:00,5.64,0,2.86,3.45,0.0183,16,1053.05,684.445,7.6,0.949,0,0.719
1/8/2021 23:00,5.64,0,2.86,3.45,0.0183,16,1052.75,684.254,7.7,0.948,0,0.7145
1/9/2021 0:00,5.64,0,2.86,3.45,0.0183,16,1052.6,684.154,7.7,0.9475,0,0.706
1/9/2021 1:00,5.64,0,2.86,3.45,0.0184,16,1052.4,684.0385,7.8,0.946,0,0.707
1/9/2021 2:00,5.64,0,2.86,3.45,0.0184,16,1052.1,683.857,7.9,0.946,0,0.7095
1/9/2021 3:00,5.7,0,2.93,3.5,0.0186,16,1052.15,683.907,7.9,0.9965,0,0.717
1/9/2021 4:00,5.7,0,2.93,3.5,0.0186,16,1052.2,683.9485,7.9,0.9965,0,0.7085
1/9/2021 5:00,5.7,0,2.93,3.5,0.0186,16,1052.3,684.026,7.9,0.996,0,0.7275
1/9/2021 6:00,5.7,0,2.93,3.5,0.0186,16,1052.35,684.0685,7.9,0.9955,0,0.716
1/9/2021 7:00,5.7,0,2.93,3.5,0.0186,16,1052.45,684.103,8,0.994,0,0.722
1/9/2021 8:00,5.7,0,3,3.5,0.0184,16,1052.45,684.1095,8,1.043,0,0.7365
1/9/2021 9:00,5.7,0,3,3.5,0.0184,16,1052.7,684.267,8,1.0415,0,0.716
1/9/2021 10:00,5.7,0,3,3.5,0.0183,16,1052.8,684.351,8,1.0405,0,0.7105
1/9/2021 11:00,5.7,0,3,3.5,0.0182,16,1052.8,684.3795,8,1.041,0,0.71
1/9/2021 12:00,5.7,0,3,3.5,0.0182,16,1052.9,684.4495,8,1.0405,0,0.7095
1/9/2021 13:00,5.7,0,3,3.5,0.0183,16,1053,684.515,8,1.0405,0,0.7005
1/9/2021 14:00,5.7,0,3,3.5,0.0183,16,1052.95,684.4765,8,1.0405,0,0.7065
1/9/2021 15:00,5.7,0,3,3.5,0.0183,16,1052.95,684.468,8,1.04,0,0.6895
1/9/2021 16:00,5.7,0,3,3.5,0.0183,16,1052.9,684.437,8,1.04,0,0.6875
1/9/2021 17:00,5.7,0,3,3.5,0.0183,16,1052.8,684.3835,8,1.0395,0,0.6975
1/9/2021 18:00,5.7,0,3,3.5,0.0183,16,1052.75,684.357,8,1.04,0,0.694
1/9/2021 19:00,5.71,0,3,3.5,0.0183,16,1053.2,684.6605,8,1.039,0,0.701
1/9/2021 20:00,5.71,0,3,3.5,0.0184,16,1053.7,684.976,8,1.0385,0,0.716
1/9/2021 21:00,5.71,0,3,3.5,0.0184,16,1054.2,685.2955,8,1.0385,0,0.711
1/9/2021 22:00,5.71,0,3,3.5,0.0184,16,1054.7,685.604,8,1.0385,0,0.7325
1/9/2021 23:00,5.71,0,3,3.5,0.0181,16,1114.65,724.5745,8,1.0385,0,0.711
1/10/2021 0:00,5.71,0,3,3.5,0.0181,16,1114.6,724.534,8,1.0385,0,0.7205
1/10/2021 1:00,5.71,0,3,3.5,0.0181,16,1114.45,724.4275,8,1.0375,0,0.7195
1/10/2021 2:00,5.71,0,3,3.5,0.0181,16,1114.7,724.5815,8,1.0375,0,0.721
1/10/2021 3:00,5.71,0,3,3.5,0.018,16,1115,724.794,8,1.0385,0,0.715
1/10/2021 4:00,5.71,0,3,3.5,0.0181,16,1174.95,763.7505,8,1.0385,0,0.6975
1/10/2021 5:00,5.7,0,3,3.5,0.0181,16,1174.45,763.4375,8,1.0385,0,0.708
1/10/2021 6:00,5.7,0,3,3.5,0.0181,16,1174.15,763.252,8,1.039,0,0.7135
1/10/2021 7:00,5.7,0,3,3.5,0.0181,16,1174.1,763.1975,8,1.0385,0,0.7125
1/10/2021 8:00,5.7,0,3,3.5,0.0181,16,1173.95,763.1195,8,1.039,0,0.7025
1/10/2021 9:00,5.7,0,3,3.5,0.0183,16,1233.35,801.751,8,1.0395,0,0.7105
1/10/2021 10:00,5.7,0,3,3.5,0.0183,16,1233.2,801.6585,8,1.0385,0,0.7005
1/10/2021 11:00,5.7,0,3,3.5,0.0182,16,1233.1,801.5935,8,1.038,0,0.719
1/10/2021 12:00,5.7,0,3,3.5,0.0182,16,1232.8,801.399,8,1.037,0,0.7205
1/10/2021 13:00,5.7,0,3,3.5,0.0183,16,1232.75,801.3435,8,1.0365,0,0.725
1/10/2021 14:00,5.7,0,3,3.5,0.0183,16,1292.15,839.953,8,1.035,0,0.7115
1/10/2021 15:00,5.7,0,3,3.5,0.0183,16,1291.45,839.4755,8,1.0355,0,0.7215
1/10/2021 16:00,5.7,0,3,3.5,0.0183,16,1290.6,838.9305,8,1.035,0,0.7215
1/10/2021 17:00,5.7,0,3,3.5,0.0183,16,1289.75,838.3655,8,1.034,0,0.74
1/10/2021 18:00,5.7,0,3,3.5,0.0183,16,1288.95,837.833,8,1.0345,0,0.7175
1/10/2021 19:00,5.7,0,3,3.5,0.0183,16,1288.05,837.256,8,1.0345,0,0.7415
1/10/2021 20:00,5.7,0,3,3.5,0.0183,16,1287.55,836.9315,8,1.0335,0,0.717
1/10/2021 21:00,5.7,0,3,3.5,0.0183,16,1287.25,836.734,8,1.0345,0,0.6975
1/10/2021 22:00,5.7,0,3,3.5,0.0183,16,1286.55,836.2755,8,1.034,0,0.7085
1/10/2021 23:00,5.7,0,3,3.5,0.0183,16,1285.8,835.775,8,1.034,0,0.733
1/11/2021 0:00,5.7,0,3,3.5,0.0183,16,1284.95,835.2275,8,1.035,0,0.744
1/11/2021 1:00,5.7,0,3,3.5,0.0183,16,1284.7,835.041,8,1.0335,0,0.749
1/11/2021 2:00,5.7,0,3,3.5,0.0182,16,1284.45,834.878,8,1.033,0,0.759
1/11/2021 3:00,5.7,0,3,3.5,0.0182,16,1284,834.586,8,1.0325,0,0.758
1/11/2021 4:00,5.7,0,3,3.5,0.0182,16,1285.1,835.3055,8,1.034,0,0.7555
1/11/2021 5:00,5.7,0,3,3.5,0.0182,16,1285.95,835.852,8,1.035,0,0.7615
1/11/2021 6:00,5.7,0,3,3.5,0.0182,16,1286.05,835.914,8,1.0335,0,0.759
1/11/2021 7:00,5.7,0,3,3.5,0.0182,16,1287.15,836.6205,8,1.034,0,0.7485
1/11/2021 8:00,5.7,0,3,3.5,0.0182,16,1227.8,798.051,8,1.0345,0,0.756
1/11/2021 9:00,5.71,0,3,3.5,0.0181,16,1228.8,798.713,8,1.035,0,0.7635
1/11/2021 10:00,5.71,0,3,3.5,0.0179,16,1229.7,799.2895,8,1.0365,0,0.7655
